listing_id,url,district,price,area_sqm,rooms,predicted_annual_rent,expected_yield_pct
6750612,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الزهرة/شارع-الصرح-حي-الزهرة-مدينة-الرياض-منطقة-الرياض-6750612,حي الزهرة,680000.0,130.0,3.0,44987.66912420909,6.62
6649358,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-عبدالله-بن-عبدالرحن-بن-سراج-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6649358,حي النرجس,1080000.0,106.0,3.0,71526.88664091303,6.62
6671147,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-ابي-محمد-المقدسي-حي-طويق-مدينة-الرياض-منطقة-الرياض-6671147,حي طويق,560000.0,120.0,3.0,37003.11097883597,6.61
6600987,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-غصون-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6600987,حي الجنادرية,650000.0,235.0,5.0,42952.68743108744,6.61
6751361,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-ينبع-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6751361,حي ظهرة لبن,790000.0,147.0,3.0,52235.90135768227,6.61
6710793,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-إبراهيم-بن-حسين-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6710793,حي الرمال,970000.0,257.0,3.0,64105.48457122503,6.61
6621008,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-272-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6621008,حي الياسمين,1150000.0,143.0,3.0,76029.47073504975,6.61
6681365,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-غير-مسمى-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6681365,حي النرجس,1050000.0,90.0,2.0,69390.29767747498,6.61
6370785,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ابن-حجر-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6370785,حي الدار البيضاء,540000.0,120.0,4.0,35698.72329568577,6.61
6388531,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الملك-فيصل/شارع-عبدالله-البغدادي-حي-الملك-فيصل-مدينة-الرياض-منطقة-الرياض-6388531,حي الملك فيصل,1050000.0,194.0,4.0,69387.41996825392,6.61
