listing_id,url,district,rooms,price,area_sqm,expected_annual_rent_sakani,sakani_deals_count,sakani_trusted,expected_yield_pct_sakani,ad_price_per_sqm,comparable_sale_deals_count,comparable_median_price_per_sqm,price_ratio,verdict_price
6686140,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-199-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6686140,حي الياسمين,3.0,850000.0,187.0,49800,1000,True,5.86,4545,81,4408.0,1.03,🟢 سعر عادل
6468256,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-عسفان-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6468256,حي النرجس,4.0,985000.0,165.0,57600,863,True,5.85,5970,531,7986.0,0.75,🟢 سعر عادل
6610400,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-مدينة-الرياض-منطقة-الرياض-6610400,حي الرمال,4.0,580000.0,255.0,33800,867,True,5.83,2275,59,4714.0,0.48,🔴 REVIEW
6389588,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-أحمد-بشناق-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6389588,حي الرمال,4.0,580000.0,140.0,33800,867,True,5.83,4143,430,5206.0,0.8,🟢 سعر عادل
6766077,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-هجر-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6766077,حي الملقا,3.0,940000.0,138.0,54800,1400,True,5.83,6812,142,8782.0,0.78,🟢 سعر عادل
6691829,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-317-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6691829,حي الرمال,4.0,580000.0,133.0,33800,867,True,5.83,4361,432,5219.0,0.84,🟢 سعر عادل
6691839,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-317-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6691839,حي الرمال,4.0,580000.0,133.0,33800,867,True,5.83,4361,432,5219.0,0.84,🟢 سعر عادل
6509030,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-محمد-بن-عبدالواحد-الطبري-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6509030,حي الرمال,4.0,580000.0,129.0,33800,867,True,5.83,4496,427,5213.0,0.86,🟢 سعر عادل
6750656,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-الخيالة-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6750656,حي الياسمين,4.0,950000.0,148.0,55200,457,True,5.81,6419,122,7182.0,0.89,🟢 سعر عادل
6564831,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-هجر-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6564831,حي الملقا,4.0,1000000.0,138.0,58100,924,True,5.81,7246,142,8782.0,0.83,🟢 سعر عادل
